latitude,longitude,altitude,geometry,HID,Type,Kodomo,Name,Label,AgeS,AgeE,Full,Open,Close,H24,Memo,Extra,Temp,Holiday,Night,Add1,Add2,TEL,FAX,Owner,Ownership,Proof,Shanai,Y,X,url,Vacancy,VacancyDate
26.166475,127.671677,,,,認可保育所,,座安保育所,座安保育所,0,5,70,7:30,18:30,null,,null,null,null,null,沖縄県豊見城市座安239-5,,098-850-4382,,,,,null,,,http://www.city.tomigusuku.okinawa.jp/living/108/423,,
26.166365,127.697075,,,,認可保育所,,ゆたか保育園,ゆたか保育園,0,5,220,7:00,18:00,null,,null,null,null,null,沖縄県豊見城市高嶺589,,098-850-5992,,,,,null,,,http://www.yutaka-hoiku.jp/,,
26.186605,127.702263,,,,認可保育所,,つぼみ保育園,つぼみ保育園,0,5,110,7:00,18:00,null,,null,null,null,null,沖縄県豊見城市嘉数469-5,,098-850-3773,,,,,null,,,,,
26.176401,127.679123,,,,認可保育所,,あゆみ保育園,あゆみ保育園,0,4,130,7:15,18:15,null,※,null,null,null,null,沖縄県豊見城市宜保253,,098-850-3043,,,,,null,,,http://ayumihoikuen.ti-da.net/,,
26.183554,127.679436,,,,認可保育所,,大地保育園,大地保育園,0,5,140,7:00,18:00,null,,null,null,null,null,沖縄県豊見城市豊見城197-69,,098-856-0088,,,,,null,,,http://www.ans.co.jp/n/taichi/,,
26.169765,127.694031,,,,認可保育所,,もみじ保育園,もみじ保育園,0,4,120,7:15,18:15,null,,null,null,null,null,沖縄県豊見城市平良215,,098-850-7050,,,,,null,,,http://www.kosodate-web.com/momiji_tomigusuku/,,
26.180216,127.663513,,,,認可保育所,,ドレミ保育園,ドレミ保育園,0,5,160,7:00,18:00,null,,null,null,null,null,沖縄県豊見城市名嘉地333-2,,098-856-1822,,,,,null,,,http://www.kosodate-web.com/doremi/,,
26.156603,127.673813,,,,認可保育所,,おなが保育園,おなが保育園,0,5,140,7:00,18:00,null,,null,null,null,null,沖縄県豊見城市翁長647-6,,098-850-1498,,,,,null,,,http://onaga-hoikuen.net/,,
26.171753,127.678116,,,,認可保育所,,むつみ保育園,むつみ保育園,0,5,130,7:00,18:00,null,,null,null,null,null,沖縄県豊見城市上田449-5,,098-850-1792,,,,,null,,,http://www.ans.co.jp/n/mutsumi/index2.html,,
26.189552,127.693939,,,,認可保育所,,聖マルコ保育園,聖マルコ保育園,0,4,60,7:00,18:00,null,,null,null,null,null,沖縄県豊見城市根差部374-14,,098-850-4299,,,,,null,,,http://www.seikoukai-hoiku.jp/en/ok_seimaruko_h/ok_seimaruko_h.html,,
26.179499,127.67511,,,,認可保育所,,へいわだい保育園,へいわだい保育園,0,4,90,7:00,18:00,null,,null,null,null,null,沖縄県豊見城市宜保387-1,,098-856-3588,,,,,null,,,http://heiwadaihoikuen.com/,,
26.188211,127.692291,,,,認可保育所,,大輝保育園,大輝保育園,0,4,80,7:00,18:00,null,,null,null,null,null,沖縄県豊見城市根差部288-1,,098-850-7445,,,,,null,,,http://www.kosodate-web.com/taiki/,,
26.190742,127.690689,,,,認可保育所,,とよみ保育園,とよみ保育園,0,5,136,7:00,18:00,null,,null,null,null,null,沖縄県豊見城市真玉橋238-1,,098-850-1122,,,,,null,,,http://www.ans.co.jp/n/toyomi/index.htm,,
26.158533,127.662544,,,,認可保育所,,豊崎保育園,豊崎保育園,0,4,100,7:00,18:00,null,,null,null,null,null,沖縄県豊見城市豊崎1-389,,098-856-6432,,,,,null,,,http://www.ans.co.jp/n/toyosaki/gaiyou.html,,
26.178022,127.692085,,,,認可保育所,,みそら保育園,みそら保育園,0,4,110,7:00,18:00,null,,null,null,null,null,沖縄県豊見城市饒波1015-2,,098-850-3900,,,,,null,,,http://www.ans.co.jp/n/misorahoikuen/,,
26.173195,127.680077,,,,認可保育所,,こがねの子保育園,こがねの子保育園,0,2,28,7:00,18:00,null,,null,null,null,null,沖縄県豊見城市上田23-3-１,,098-856-5102,,,,,null,,,http://koganenoko.com/,,
26.158533,127.662544,,,,認可保育所,,豊崎保育園分園,豊崎保育園分園,2,2,29,7:00,18:00,null,,null,null,null,null,沖縄県豊見城市豊崎1-396,,098-856-6432,,,,,null,,,http://www.ans.co.jp/n/toyosaki/gaiyou.html,,
26.161688,127.664665,,,,認可保育所,,めぐみの森保育園,めぐみの森保育園,0,4,90,7:00,18:00,null,,null,null,null,null,沖縄県豊見城市与根520-4,,098-856-9360,,,,,null,,,http://kbcaiikukai.jp/,,
26.166365,127.697075,,,,認可保育所,,ゆたか保育園分園,ゆたか保育園分園,0,4,0,7:00,18:00,null,,null,null,null,null,沖縄県豊見城市高嶺395-99,,098-850-5992,,,,,null,,,http://www.yutaka-hoiku.jp/,,
26.186382,127.679932,,,,認可保育所,,とよみ保育園分園,とよみ保育園分園,3,4,22,7:00,18:00,null,,null,null,null,null,沖縄県豊見城市豊見城696-1,,098-850-1122,,,,,null,,,http://www.ans.co.jp/n/toyomi/index2.htm,,
